name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	gpt	opencyc	bfo	dolce	dul	gloss	origin
51-percent-attack						Q25388952							economics
abbey	02667379	Abbey	=		Abbey	Q160742		Mx4rGphw-inAQdiM5KzBxwwzkw				a monastery ruled by an abbot	base
abdomen	05556943	Abdomen	=			Q1029907		Mx4rvVjgyZwpEbGdrcN5Y29ycA				the region of the body of a vertebrate between the thorax and the pelvis	base
aberration	11420139	RadiatingLight	+			Q186634						an optical phenomenon resulting from the failure of a lens or mirror to produce a good ima	base
ability	05200169	Attribute	+					Mx4rvh57iJwpEbGdrcN5Y29ycA				the quality of being able to perform; a quality that permits or facilitates achievement or	base
abortion	00230324	Destruction	+			Q8452						termination of pregnancy	base
absence	01234345	Process	+									failure to be present	base
absinthe	07908411	Liqueur	+			Q170210	505761	Mx4rvvabn5wpEbGdrcN5Y29ycA				strong green liqueur flavored with wormwood and anise	base
absorption	13423922	Wetting	+			Q332828						(chemistry) a process in which one substance permeates another; a fluid permeates or is di	base
abuse	06715223	Expressing	+									"a rude expression intended to offend or hurt; ""when a student made a stupid mistake he spa"	base
academic-degree	06697331	AcademicDegree	=		Academic_degree							an award conferred by a college or university signifying that the recipient has satisfacto	base
academy	02669885	EducationalOrganization	+		Academy	Q162633		Mx4rpo0ncHqGQdeOwLvZU0r7Hw				a learned establishment for the advancement of knowledge	base
accelerator	02670683	GasPedal	=			Q961356						"a pedal that controls the throttle valve; ""he stepped on the gas"""	base
accelerometer	02670935	Accelerometer	=				7395	Mx4rQ80a0KUlEd2AAABQjYGu0g				an instrument for measuring the acceleration of aircraft or rockets	base
access	05175467	NormativeAttribute	+									the right to obtain or make use of or take advantage of something (as services or membersh	base
accident	07301336	Process	+		Accident	Q171558		Mx4rvViib5wpEbGdrcN5Y29ycA				an unfortunate mishap; especially one causing damage or injury	base
accomplishment	00035189	IntentionalProcess	=							accomplishment		the action of accomplishing something	base
accordion	02672831	WindInstrument	+			Q79838	4983a	Mx4rbVd-QitNQdiM6YN2E_36IA				a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the 	base
account	13354985	FinancialText	+					Mx4rTXWNgDjCEd2AAADggVbxzQ				"a statement of recent transactions and the resulting balance; ""they send me an accounting "	base
accountant	09761403	Accountant	+			Q471066						someone who maintains and audits business accounts	base
accounting-entry	13405296	Text	+									a written record of a commercial transaction	economics
accounts-payable						Q250058							economics
accounts-receivable						Q328554							economics
accredited-investor						Q4218461							economics
accretion	13424865	Increasing	+									an increase by natural growth or addition	base
accrual						Q384475							economics
accrual-basis	13406638	Procedure	+									a method of accounting in which each item is entered as it is earned or incurred regardles	economics
accusation	06730780	Stating	+									"an assertion that someone is guilty of a fault or offence; ""the newspaper published charge"	base
ace	09762509	Human	+			Q378907						someone who is dazzlingly skilled in any field	base
acid	14607521	ChemicalAcid	=		Acid	Q11158						any of various water-soluble compounds having a sour taste and capable of turning litmus r	base
acknowledgment	14411981	SubjectiveAssessmentAttribute	+					Mx4rvVkMQZwpEbGdrcN5Y29ycA				"the state or quality of being recognized or acknowledged; ""the partners were delighted wit"	base
acquaintance	09763784	SocialRole	+			Q28008277						"a person with whom you are acquainted; ""I have trouble remembering the names of all my acq"	base
acquired-knowledge	05984287	EducationalProcess	=									"knowledge acquired by learning and instruction; ""it was clear that he had a very broad edu"	base
acquisition	13253255	Getting	+					Mx4rg_O_VFaUQdiKWM5U7IxE6A				"something acquired; ""a recent acquisition by the museum"""	base
act	00030358	IntentionalProcess	=			Q421744						something that people do or cause to happen	base
act-of-play	07009640	PerformanceAct	=									a subdivision of a play or opera or ballet	base
action	06373513	Proposition	+	schema:Action		Q3678445	6058a	Mx4rvVioQZwpEbGdrcN5Y29ycA			Action	"the series of events that form a plot; ""his novels always have a lot of action"""	base
action-mechanism	02677718	EngineeringComponent	+									"the operating part that transmits power to a mechanism; ""the piano had a very stiff action"	base
active-management						Q4677563							economics
activeness	04635104	BiologicalAttribute	+									"the trait of being active; moving or acting rapidly and energetically; ""the level of activ"	base
