# sub	sup	accept|reject	reason	sub_wn	sup_wn
# proposed by Claude 2026-09-03: taxa and theories
taxonomic-group	concept	accept	a taxon: a named group of organisms	07992450	05835747
cell-theory	concept	accept	a theory	06105609	05835747
theory-of-evolution	concept	accept	a theory	06109227	05835747
theory-of-inheritance	concept	accept	a theory	06109771	05835747
gene	dna	accept	a gene is a segment of DNA; coarse but true, WordNet files it under sequence	05436752	
gene	dna	accept	a gene is a segment of DNA; coarse but true, WordNet files it under sequence	05436752	14830364
dna	nucleic-acid	accept	WordNet: DNA is a polymer; it is the nucleic acid par excellence	14830364	14964129
plant-part	body-part	accept	the body-part root reads: any part of an organism	13086908	05220461
calyx	plant-part	accept	the sepals of a flower	11691523	13086908
corolla	plant-part	accept	the petals of a flower	11691046	13086908
scurf	plant-part	accept	a scaly covering of plant parts	09426621	13086908
brachium	body-part	accept	an armlike part of an animal	13914141	05220461
taxonomic-division	taxonomic-group	accept	a subdivision of a larger taxon	08221348	07992450
estivation	attribute	accept	an arrangement is a pattern, not a group	07947069	00024264
venation	attribute	accept	same	08373244	00024264
vernation	attribute	accept	same	08373380	00024264
ecosystem	group	accept	a community together with its environment; `system` is unplaced in core	08368757	00031264
position-effect	natural-event	accept	an effect on gene expression	11416534	11408559
phylogenetic-relation	attribute	accept	a relation among organisms; `relation` is unplaced in core	13812296	00024264
disease-vector	organism	accept	an animal or organism that transmits disease	01372038	00004475
