name	issue	ids
conservation.cognition	name collision with 'conservation' — (physics) the maintenance of a certain quantities unchanged 	06104073
chaos.cognition	name collision with 'chaos' — (physics) a dynamical system that is extremely sensitive to 	06246529
node.location	name collision with 'node' — (physics) the point of minimum displacement in a periodic sy	08498580
work.phenomenon	name collision with 'work' — (physics) a manifestation of energy; the transfer of energy 	11453420
visible-light	name collision with 'light' — (physics) electromagnetic radiation that can produce a visua	11473954
reluctance.phenomenon	name collision with 'reluctance' — (physics) opposition to magnetic flux (analogous to electric	11504750
tension.phenomenon	name collision with 'tension' — (physics) a stress that produces an elongation of an elastic	11515051
fundamental-interaction	name collision with 'interaction' — (physics) the transfer of energy between elementary particle	11516113
absorption.process	name collision with 'absorption' — (physics) the process in which incident radiated energy is r	13424183
pencil.shape	name collision with 'pencil' — a figure formed by a set of straight lines or light rays mee	13863020
phase.attribute	name collision with 'phase' — (astronomy) the particular appearance of a body's state of i	04676540
node.location.2	name collision with 'node' — (astronomy) a point where an orbit crosses a plane	08498424
limb.location	name collision with 'limb' — (astronomy) the circumferential edge of the apparent disc of	08592494
coma.object	name collision with 'coma' — (astronomy) the luminous cloud of particles surrounding the 	09251002
primary.object	name collision with 'primary' — (astronomy) a celestial body (especially a star) relative to	09398769
star.object	name collision with 'star' — (astronomy) a celestial body of hot gases that radiates ener	09444100
variation.phenomenon	name collision with 'variation' — (astronomy) any perturbation of the mean motion or orbit of 	11415084
accretion.process	name collision with 'accretion' — (astronomy) the formation of a celestial object by the effec	13425425
inclination-of-an-orbit	name collision with 'inclination' — (astronomy) the angle between the plane of the orbit and the	13889843
cosmic-string	name collision with 'string' — (cosmology) a hypothetical one-dimensional subatomic particl	09449282
anomaly	opencyc: 2 classes match ['anomaly']	Mx4rH7vwOCb5EdqAAAAOpjlAWA Mx8Ngh4rlbasWsxLTdy46teZvW-XVh4rvYjIS5wpEbGdrcN5Y29ycA
autumnal-equinox	opencyc: 2 classes match ['autumnal-equinox']	Mx4rQexstIUhEdaAAAACs0uFOQ Mx4rvWhvypwpEbGdrcN5Y29ycA
dip	opencyc: 2 classes match ['dip']	Mx4rvViOG5wpEbGdrcN5Y29ycA Mx4rvtqMCJwpEbGdrcN5Y29ycA
vernal-equinox	opencyc: 2 classes match ['vernal-equinox']	Mx4rQBn35IUhEdaAAAACs0uFOQ Mx4rvVrqkJwpEbGdrcN5Y29ycA
