# offset	name	note
01460457	animal-egg	animal reproductive body consisting of an ovum or 
01461532	crustacean-roe	the egg mass or spawn of certain crustaceans such 
02322624	fish-roe	eggs of female fish
00193406	sensory-adaptation	(physiology) the responsive adjustment of a sense 
13425245	biological-accretion	(biology) growth by addition as by the adhesion of
07990377	biological-association	(ecology) a group of organisms (plants and animals
04616916	heritable-character	(genetics) an attribute (structural or functional)
08103777	taxonomic-class	(biology) a taxonomic group containing one or more
13090395	bract-tuft	(botany) a usually terminal tuft of bracts (as in 
08221348	taxonomic-division	(biology) a group of organisms forming a subdivisi
08220891	botanical-division	(botany) taxonomic unit of plants corresponding to
11413800	genetic-dominance	the organic phenomenon in which one of a pair of a
11686503	plant-embryo	(botany) a minute rudimentary plant contained with
13500214	biological-inhibition	(physiology) the process whereby nerves can retard
11691857	flower-lip	(botany) either of the two parts of a bilabiate co
14899530	culture-medium	(biology) a substance in which specimens are prese
08106934	taxonomic-order	(biology) taxonomic group containing one or more f
11493266	biological-polymorphism	(genetics) the genetic variation within a populati
11502695	immune-recognition	(biology) the ability of one molecule to attach to
07426573	genetic-reversion	(genetics) a return to a normal phenotype (usually
13561719	physiological-stimulation	(physiology) the effect of a stimulus (on nerves o
11677259	flower-style	(botany) the narrow elongated part of the pistil b
13563139	neural-summation	(physiology) the process whereby multiple stimuli 
05608206	target-cell	any cell that has a specific receptor for an antig
08107499	taxonomic-family	(biology) a taxonomic group containing one or more
08111419	type-taxon	the taxon whose characteristics define a higher taxon; `type` is an everyday word
14830364	dna	the everyday name
01372038	cloning-vector	WordNet's genetics vector delivers DNA; the disease vector is another sense
00333037	limb-abduction	the plain word `abduction` is everyday; a pack never takes it (second pass 2026-09-03)
00333203	limb-adduction	the plain word `adduction` is everyday; a pack never takes it (second pass 2026-09-03)
00193225	visual-accommodation	the plain word `accommodation` is everyday; a pack never takes it (second pass 2026-09-03)
14723079	biological-activator	the plain word `activator` is everyday; a pack never takes it (second pass 2026-09-03)
11552806	annual-plant	the plain word `annual` is everyday; a pack never takes it (second pass 2026-09-03)
11552976	biennial-plant	the plain word `biennial` is everyday; a pack never takes it (second pass 2026-09-03)
11553240	perennial-plant	the plain word `perennial` is everyday; a pack never takes it (second pass 2026-09-03)
13433948	appositional-growth	the plain word `apposition` is everyday; a pack never takes it (second pass 2026-09-03)
13088858	plant-blister	the plain word `blister` is everyday; a pack never takes it (second pass 2026-09-03)
13088688	plant-callus	the plain word `callus` is everyday; a pack never takes it (second pass 2026-09-03)
01314145	genetic-carrier	the plain word `carrier` is everyday; a pack never takes it (second pass 2026-09-03)
13449714	botanical-cohesion	the plain word `cohesion` is everyday; a pack never takes it (second pass 2026-09-03)
05456257	cone-cell	the plain word `cone` is everyday; a pack never takes it (second pass 2026-09-03)
05456456	rod-cell	the plain word `rod` is everyday; a pack never takes it (second pass 2026-09-03)
00830448	physiological-control	the plain word `control` is everyday; a pack never takes it (second pass 2026-09-03)
11691332	flower-corona	the plain word `corona` is everyday; a pack never takes it (second pass 2026-09-03)
13458019	biological-decomposition	the plain word `decomposition` is everyday; a pack never takes it (second pass 2026-09-03)
07425577	gene-deletion	the plain word `deletion` is everyday; a pack never takes it (second pass 2026-09-03)
11492643	biological-dimorphism	the plain word `dimorphism` is everyday; a pack never takes it (second pass 2026-09-03)
13476267	ecological-establishment	the plain word `establishment` is everyday; a pack never takes it (second pass 2026-09-03)
13478205	gene-expression	the plain word `expression` is everyday; a pack never takes it (second pass 2026-09-03)
05229622	fiber-cell	the plain word `fibre` is everyday; a pack never takes it (second pass 2026-09-03)
05604535	bodily-humour	the plain word `humour` is everyday; a pack never takes it (second pass 2026-09-03)
04922338	genetic-inheritance	the plain word `inheritance` is everyday; a pack never takes it (second pass 2026-09-03)
07425726	chromosomal-inversion	the plain word `inversion` is everyday; a pack never takes it (second pass 2026-09-03)
07332550	neural-irradiation	the plain word `irradiation` is everyday; a pack never takes it (second pass 2026-09-03)
04744645	biological-isomorphism	the plain word `isomorphism` is everyday; a pack never takes it (second pass 2026-09-03)
04923024	genetic-linkage	the plain word `linkage` is everyday; a pack never takes it (second pass 2026-09-03)
13161506	leaf-lobe	the plain word `lobe` is everyday; a pack never takes it (second pass 2026-09-03)
01024643	gene-mapping	the plain word `mapping` is everyday; a pack never takes it (second pass 2026-09-03)
05439286	modifier-gene	the plain word `modifier` is everyday; a pack never takes it (second pass 2026-09-03)
01326751	monad-organism	the plain word `monad` is everyday; a pack never takes it (second pass 2026-09-03)
13924336	ecological-niche	the plain word `niche` is everyday; a pack never takes it (second pass 2026-09-03)
12780168	pitcher-leaf	the plain word `pitcher` is everyday; a pack never takes it (second pass 2026-09-03)
11492388	morphological-polymorphism	the plain word `polymorphism` is everyday; a pack never takes it (second pass 2026-09-03)
