# kind	offset	note — candidate synsets for the medicine pack
topic	06043075	nouns WordNet tags with the topic medicine (45)
topic	06060845	pathology (16)
topic	06055946	psychiatry (24)
topic	06063588	surgery (9)
topic	06047430	dentistry (9)
topic	06054892	pharmacology (3)
topic	06051542	immunology (5)
topic	06050024	epidemiology (2)
cone	06045562	medical science and its branches (78)
cone	01024392	medical procedure (164)
cone	00661091	therapy (52)
cone	14285662	injury (83)
cone	14174549	infection (64)
cone	14380140	mental illness (21)
cone	14304060	syndrome (31)
cone	14239918	cancer (49)
cone	03739693	medical instrument (49)
cone	02716866	antibiotic (64)
cone	04517535	vaccine (6)
cone	10165109	health professional (84; physicians inside)
cone	03540595	hospital (8)
# the big three: the synset and its direct hyponyms only (cones of 605, 468 and 512)
children	14070360	disease
children	14299637	symptom
children	03740161	medication
synset	14298815	wound
synset	00152727	diagnosis
synset	01386007	pathogen
synset	14447908	health
