# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
taxonomic-group	concept	accept	a taxon: a named group of organisms	07992450	05835747
cell-theory	concept	accept	a theory	06105609	05835747
theory-of-evolution	concept	accept	a theory	06109227	05835747
theory-of-inheritance	concept	accept	a theory	06109771	05835747
dna	nucleic-acid	accept	WordNet: DNA is a polymer; it is the nucleic acid par excellence	14830364	14964129
plant-part	body-part	accept	the body-part root reads: any part of an organism	13086908	05220461
calyx	plant-part	accept	the sepals of a flower	11691523	13086908
corolla	plant-part	accept	the petals of a flower	11691046	13086908
scurf	plant-part	accept	a scaly covering of plant parts	09426621	13086908
brachium	body-part	accept	an armlike part of an animal	13914141	05220461
taxonomic-division	taxonomic-group	accept	a subdivision of a larger taxon	08221348	07992450
estivation	attribute	accept	an arrangement is a pattern, not a group	07947069	00024264
venation	attribute	accept	same	08373244	00024264
vernation	attribute	accept	same	08373380	00024264
position-effect	natural-event	accept	an effect on gene expression	11416534	11408559
phylogenetic-relation	attribute	accept	a relation among organisms; `relation` is unplaced in core	13812296	00024264
gene	physical-object	accept	SUMO's line; Peter 2026-09-03: gene ⊑ dna is not clear — genes were known before DNA was; the coarse true parent	05436752	00002684
acid-base-equilibrium	state	accept	the body's normal balance [second pass 2026-09-03]	13425980	00024720
blastema	tissue	accept	undifferentiated tissue [second pass 2026-09-03]	05431402	05267345
erythroblast	somatic-cell	accept	a bone-marrow cell [second pass 2026-09-03]	05448257	05430628
fibroblast	somatic-cell	accept	a connective-tissue cell [second pass 2026-09-03]	05448400	05430628
heterozygote	organism	accept	an organism with two different alleles [second pass 2026-09-03]	05432230	00004475
homozygote	organism	accept	same [second pass 2026-09-03]	05432420	00004475
leukocyte	blood-cell	accept	white blood cells [second pass 2026-09-03]	05449959	05449268
linkage-group	collection	accept	genes transmitted together [second pass 2026-09-03]	05439100	07951464
megakaryocyte	somatic-cell	accept	a bone-marrow cell [second pass 2026-09-03]	05448928	05430628
spindle	natural-object	accept	fibers seen in cell division [second pass 2026-09-03]	05605498	00019128
packed-cells	material	accept	a blood preparation [second pass 2026-09-03]	05450370	14580897
uncus	body-part	accept	a hook-shaped process [second pass 2026-09-03]	13869676	05220461
disease-vector	physical-object	accept	a plasmid or virus used to carry DNA; named cloning-vector [second pass 2026-09-03]	01372038	00002684
# ===== 2026-09-17 review: the pack's disputed pairs, settled by reading the glosses.
species	taxonomic-group	accept	WordNet's gloss is explicit: "taxonomic group whose members can interbreed"; SUMO is reversed	08110373	07992450
taxonomic-group	species	reject	as above	07992450	08110373
# 2026-09-17 review: fields that were hanging straight from `field-of-study` with nothing
# between them and the root, because the edge to their real parent had only one witness.
taxonomy	biology	accept	the classification of organisms is a branch of biology; it was hanging from the bare root (2026-09-17 review)	06153186	06037666
# 2026-09-17 review: the machinery of biology, placed by WordNet's nearest placed ancestor.
genome	group	accept	WordNet's nearest placed ancestor, d3 (2026-09-17 review): any number of entities (members) considered as a unit	08457543	00031264
mitochondrion	organ	accept	WordNet's nearest placed ancestor, d2 (2026-09-17 review): a fully differentiated structural and functional unit 	05445389	05297523
organelle	organ	accept	WordNet's nearest placed ancestor, d1 (2026-09-17 review): a fully differentiated structural and functional unit 	05445668	05297523
photosynthesis	process	accept	WordNet's nearest placed ancestor, d3 (2026-09-17 review): a sustained phenomenon or one marked by gradual change	13537429	00029677
ribosome	organ	accept	WordNet's nearest placed ancestor, d2 (2026-09-17 review): a fully differentiated structural and functional unit 	05446394	05297523
rna	compound	accept	WordNet's nearest placed ancestor, d2 (2026-09-17 review): (chemistry) a substance formed by chemical union of tw	14832193	14818238
symbiosis	relation	accept	WordNet's nearest placed ancestor, d3 (2026-09-17 review): an abstraction belonging to or characteristic of two e	13842622	00031921
# ... and the finer parent, now that `organelle` is in (the pruning drops `⊑ organ`).
mitochondrion	organelle	accept	WordNet's own hypernym (2026-09-17 review)	05445389	05445668
ribosome	organelle	accept	WordNet's own hypernym (2026-09-17 review)	05446394	05445668
# 2026-09-17 review: four branches of biology were landing under `field-of-study` (one witness
# for `X ⊑ biology`, two for the root), the way physics' and chemistry's were.
ecology	biology	accept	WordNet's own hypernym: a branch of biology (2026-09-17 review)	06070929	06037666
zoology	biology	accept	WordNet's own hypernym: a branch of biology (2026-09-17 review)	06083243	06037666
botany	biology	accept	WordNet's own hypernym: a branch of biology (2026-09-17 review)	06066555	06037666
molecular-biology	biology	accept	WordNet's own hypernym: a branch of biology (2026-09-17 review)	06078088	06037666
