# offset	name	note
06797671	medical-indication	(medicine) a reason to prescribe; `indication` is everyday
07332313	pathogen-invasion	(pathology) spread of pathogens; `invasion` is military
10187356	transplant-recipient	(medicine) recipient of transplanted tissue; `host` is everyday
11505318	transplant-rejection	(medicine) the immunological response; `rejection` is everyday
13498404	infection-process	the invasion of the body by pathogens (the process; core's `infection` is the resulting state)
13759773	physiological-reserve	(medicine) capacity to respond; `reserve` is everyday
14301785	clinical-sign	(medicine) objective evidence of a disorder; `sign` is everyday
14067076	circulatory-shock	(pathology) bodily collapse from inadequate blood flow; `shock` is everyday
14113471	organ-insufficiency	(pathology) inability of an organ to function
04646372	psychological-resistance	(psychiatry) unwillingness to bring repressed feelings to consciousness; `resistance` is a unit head
13452947	psychological-conversion	(psychiatry) a defense mechanism
13461951	psychological-denial	(psychiatry) a defense mechanism
13503673	psychological-isolation	(psychiatry) a defense mechanism
13541798	psychological-projection	(psychiatry) a defense mechanism
03232158	surgical-drain	tube inserted into a body cavity
03139089	dental-crown	(dentistry) an artificial crown
03564849	dental-impression	(dentistry) an imprint of the teeth
11426778	antibody-affinity	(immunology) attraction between antigen and antibody
06047096	biomedical-science	the branch of medical science applying biology and physiology; core's `biomedicine` is another sense
06078978	clinical-neurology	the branch of medical science dealing with the nervous system; core's `neurology` is another sense
00662527	corrective-treatment	treatment of a specific defect; `correction` is everyday
00664110	medicating	the act of treating with medicines; `medication` is the substance
00700652	psychotherapy-treatment	the treatment; `psychotherapy` in core is the field
14287408	bite-wound	a wound from biting; `bite` is everyday
14291823	electric-shock-injury	trauma from electric current
04006411	surgical-probe	a slender surgical instrument; `probe` is everyday
14071559	pulmonary-aspergillosis	the human disease from inhaled Aspergillus spores
14074041	medical-complication	a disorder arising during another; `complication` is everyday
14322699	physical-pain	the symptom; core's `pain` is the feeling
03994008	medicinal-powder	a medical preparation; `powder` is everyday
14372738	anemia	the blood disorder
05665769	dental-bonding	`bonding` is everyday
03067690	cold-medicine	
03129471	foundling-hospital	`creche` is a nursery to everyone else
14311348	symptomatic-effect	`effect` is everyday
14176570	whitlow	`felon` is a criminal; WordNet's other lemma
00699517	spinal-fusion	`fusion` is everyday
14184390	chafing-sore	`gall` is everyday
14364432	tissue-hardening	`hardening` is everyday
14076126	organ-incompetence	`incompetence` is everyday
00323532	medical-infusion	`infusion` is tea
00695448	wound-irrigation	`irrigation` is farming
14531392	tissue-irritation	`irritation` is everyday
05230357	anatomical-landmark	`landmark` is everyday
00148242	surgical-ligation	
10303186	nursing-matron	`matron` is everyday
14078733	disease-mimesis	`mimesis` is literary
14074394	endemic-disease	an adjective otherwise
05246215	surgical-stoma	the botanical stoma is another sense
04451473	tonic-medicine	`tonic` is a drink
02854156	blocker-drug	`blocker` is everyday
09790278	psychoanalyst	`analyst` is everyday; WordNet's sense
00694990	drug-administration	`administration` is government
00692130	surgical-sterilization	instruments are sterilized too
00700260	physical-rehabilitation	`rehabilitation` is everyday
03966751	reflex-hammer	the everyday name
13824114	disease-prevalence	`prevalence` is everyday
04682184	corneal-nebula	the astronomical nebula is another sense
05244239	pathological-plaque	`plaque` is a wall plaque
00227264	pathological-strangulation	the crime is another sense
00689062	rhinoplasty	WordNet's other lemma
04271640	specific-remedy	`specific` is an adjective
14291561	joint-dislocation	`dislocation` is everyday
14183210	furuncle	`boil` is what water does; WordNet's other lemma
14340287	chills	the symptom, plural as spoken
14320394	tissue-congestion	`congestion` is traffic
14213328	pathological-curvature	`curvature` is geometry
14321469	skin-eruption	`eruption` is volcanic
14313342	tongue-furring	
14302460	symptomatic-aura	`aura` is everyday
14302847	digital-clubbing	`clubbing` is nightlife
03338287	dental-filling	`filling` is everyday
04249204	surgical-snare	`snare` is a trap
04083800	surgical-retractor	
13975037	immunological-incompatibility	`incompatibility` is everyday
14073331	blackwater-fever	the disease
14289387	black-eye	WordNet's other lemma
14289942	scorch-burn	`scorch` is everyday
10059323	otolaryngologist	WordNet's other lemma
10477713	probationer-nurse	`probationer` is everyday
14179744	hiv-infection	WordNet's HIV is the infection; the virus is another sense
14297870	sting-wound	the wound; `sting` is also the act
15287578	incubation-period	the everyday word is eggs
05067928	dental-occlusion	`occlusion` is everyday
13450636	psychological-compensation	`compensation` is money
13467009	psychological-displacement	`displacement` is physics
13495636	psychological-idealization	`idealization` is everyday
13501059	psychological-intellectualization	
13546169	psychological-rationalization	the mathematics pack has rationalization
13548931	psychological-regression	statistics has regression
13550089	psychological-repression	`repression` is political
14289504	bump-swelling	`bump` is everyday
09897350	disease-carrier	`carrier` is everyday; biology has genetic-carrier
00692991	surgical-taxis	`taxis` is also the biological movement
05582859	tissue-graft	`graft` is corruption to most people
00901083	medical-imaging	`imaging` is everyday
00677808	surgical-implantation	`implantation` is also embryology
00707344	therapeutic-refrigeration	`refrigeration` is the fridge
14295140	pinch-injury	`pinch` is everyday
14299070	wrench-injury	`wrench` is a tool
14298102	muscle-strain	`strain` is everyday; physics has mechanical-strain
14295248	tissue-rupture	`rupture` is everyday
04492585	hernia-truss	`truss` is carpentry
13539422	drug-potentiation	`potentiation` is everyday-ish
13457665	drug-decoction	`decoction` is tea
10211203	medical-intern	`intern` is any trainee
10074578	medical-extern	same
14298620	skin-wale	`wale` is also cloth
