# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- biology batch 1: wordnet  ---
abduction	motion	accept		00333037	00331950
accommodation	act	reject	an automatic adjustment is not an act	00193225	00030358
acid-base-equilibrium	chemical-reaction	accept		13425980	13447361
adaptation.act	act	reject	same	00193406	00030358
adduction	motion	accept		00333203	00331950
ameloblast	embryonic-cell	accept		05448053	05447757
anisogamete	gamete	accept		05457201	05456945
antherozoid	gamete	accept		13095543	05456945
apophysis	body-part	accept		13088460	05220461
archespore	cell	accept		11688378	00006484
arthrospore	cell	accept		13092385	00006484
axon	nerve-fiber	accept		05468849	05464104
blastema	cell	accept		05431402	00006484
blastocyte	embryonic-cell	accept		05447962	05447757
blister	body-part	accept		13088858	05220461
brachium	shape	reject	a body part	13914141	00027807
brain-cell	nerve-cell	accept		05465868	05465567
callus	body-part	accept		13088688	05220461
calyx	shape	reject	a plant part	11691523	00027807
cancer-cell	neoplastic-cell	accept		05431285	05431177
cataplasia	change	accept		07428257	07296428
cell-theory	thinking	reject	a theory	06105609	05770926
choanocyte	flagellated-cell	accept		01907287	01907149
chromosome	natural-object	accept		05442131	00019128
coarctation	attribute	accept		05071185	00024264
columnar-cell	epithelial-cell	accept		05242070	05241827
coma.plant	bunch	accept		13090395	07959943
cone	visual-cell	accept		05456257	05455912
corolla	shape	reject	a plant part	11691046	00027807
corona	natural-object	accept		11691332	00019128
cuboidal-cell	epithelial-cell	accept		05242396	05241827
cybernetics	science	accept		06142598	05999797
decomposition	process	accept		13458019	00029677
deletion	mutation	accept		07425577	07425011
dendrite	nerve-fiber	accept		05469861	05464104
desert	biotic-community	reject	a place, not a community of organisms	08505573	07941729
division.group	group	reject	a taxon is not a group of people	08221348	00031264
effector	nerve-fiber	accept		05465228	05464104
egg.animal	ovum	accept		01460457	05457973
enzyme	activator	accept		14732946	14723079
epidermal-cell	skin-cell	accept		05241218	05241072
erythroblast	embryonic-cell	accept		05448257	05447757
establishment	process	accept		13476267	00029677
estivation	group	reject	an arrangement of petals is not a group	07947069	00031264
etiolation	act	accept		00274206	00030358
fat-cell	somatic-cell	accept		05456622	05430628
fibre	cell	accept		05229622	00006484
fibroblast	embryonic-cell	accept		05448400	05447757
fibrous-astrocyte	astrocyte	accept		05467922	05467758
fixed-phagocyte	phagocyte	accept		05451099	05450888
flagellated-cell	cell	accept		01907149	00006484
foliation	growth	accept		13483190	13489037
forest	biotic-community	reject	same	09284015	07941729
freak	mutant	accept		10109443	10341660
free-phagocyte	phagocyte	accept		05451265	05450888
gamete	reproductive-cell	accept		05456945	05456732
ganglion-cell	nerve-cell	accept		05427346	05465567
germ-tube	natural-object	accept		11680457	00019128
goblet-cell	epithelial-cell	accept		05242525	05241827
golgi's-cell	brain-cell	accept		05466005	05465868
hair-cell	epithelial-cell	accept		05242622	05241827
haplotype	combination	accept		05439582	07963711
hayfield	biotic-community	reject	same	08570634	07941729
helper-t-cell	t-cell	accept		05452204	05451981
hematopoeitic-stem-cell	stem-cell	accept		05608044	05607863
heterozygote	zygote	accept		05432230	05431926
homeostasis	equilibrium	accept		14003167	13934900
homogeny	similarity	accept		04744161	04743605
homozygote	zygote	accept		05432420	05431926
hormone	secretion	accept		05407119	05404728
hybridoma	somatic-cell	accept		05470013	05430628
inversion	mutation	accept		07425726	07425011
isogamete	gamete	accept		05457343	05456945
killer-t-cell	t-cell	accept		05452516	05451981
leukocyte	free-phagocyte	accept		05449959	05451265
life-force	natural-event	reject	a hypothetical force; dropped	11523839	11408559
ligule	natural-object	accept		13162164	00019128
linkage	inheritance	accept		04923024	04922338
lip.plant	natural-object	accept		11691857	00019128
lobe	natural-object	accept		13161506	00019128
localization-of-function	scientific-principle	accept		05992274	05874232
lymphoblast	lymphocyte	accept		05452765	05451384
lymphocyte	leukocyte	accept		05451384	05449959
mast-cell	somatic-cell	accept		05607602	05430628
medullated-nerve-fiber	nerve-fiber	accept		05464378	05464104
