offset	lemma	field	semcor	zipf	why	nearest	flags	gloss
10804406	young_person	person	323	5.18	semcor	person	word present in another sense	a young person (especially a young man or boy)
10582746	serviceman	person	348	2.61	semcor	skilled-worker	word present in another sense	"someone who serves in the armed forces; a member of a military force; ""two men stood sentr"
04928903	manner	attribute	290	4.55	semcor	attribute	word present in another sense	"how something is done or how it happens; ""her dignified manner""; ""his rapid manner of talk"
05839024	kind	cognition	253	5.45	semcor	category	word present in another sense	"a category of things distinguished by some common characteristic or quality; ""sculpture is"
07309599	time	event	220	6.29	semcor	instance	word present in another sense	"an instance or single occasion for some event; ""this time he succeeded""; ""he called four t"
09917593	child	person	207	5.3	semcor	person	word present in another sense	"a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tidd"
15270431	time	time	160	6.29	semcor	time-period	word present in another sense	a period of time considered as a resource under your control and sufficient to accomplish 
10112591	friend	person	169	5.37	semcor	person	word present in another sense	"a person you know well and regard with affection and trust; ""he was my best friend at the "
14410605	problem	state	151	5.4	semcor	condition	word present in another sense	"a state of difficulty that needs to be resolved; ""she and her husband are having problems"""
08497294	area	location	149	5.46	semcor	region	word present in another sense	a particular geographical region of indefinite boundary (usually serving some special purp
05840188	type	cognition	136	5.27	semcor	category		"a subdivision of a particular kind of thing; ""what type of sculpture do you prefer?"""
08213817	regiment	group	145	3.93	semcor	military-unit		army unit smaller than a division
15122231	time	time	114	6.29	semcor	time-period	word present in another sense	"an indefinite period (usually marked by specific attributes or activities); ""he waited a l"
00172710	means	act	111	5.44	semcor	act	word present in another sense	"how a result is obtained or an end is achieved; ""a means of control""; ""an example is the b"
00947128	use	act	106	5.81	semcor	activity	word present in another sense	"the act of using; ""he warned against the use of narcotic drugs""; ""skilled in the utilizati"
06999647	figure	communication	110	5.07	semcor	information	word present in another sense	"a diagram or picture illustrating textual material; ""the area covered can be seen from Fig"
15169873	week	time	103	5.56	semcor	time-period	word present in another sense	"any period of seven consecutive days; ""it rained for a week"""
06634376	information	communication	102	5.43	semcor	information	word present in another sense	a message received and understood
06290637	form	communication	96	5.31	semcor	word	word present in another sense	the phonological or orthographic sound or appearance of a word that can be used to describ
15244650	moment	time	96	5.24	semcor	amount	word present in another sense	"a particular point in time; ""the moment he arrived the party began"""
00037396	action	act	94	5.25	semcor	act	word present in another sense	"something done (usually as opposed to something said); ""there were stories of murders and "
08649345	side	location	91	5.5	semcor	place	word present in another sense	"a place within a region identified relative to a center or reference location; ""they alway"
10289039	man	person	87	5.82	semcor	person	word present in another sense	"the generic use of the word to refer to any human being; ""it was every man for himself"""
05671325	matter	cognition	90	5.38	semcor	matter-of-concern	word present in another sense	"a vaguely specified concern; ""several matters to attend to""; ""it is none of your affair""; "
00644503	survey	act	95	4.69	semcor	work	word present in another sense	a detailed critical inspection
00973077	war	act	87	5.46	semcor	military-action	word present in another sense	"the waging of armed conflict against an enemy; ""thousands of people were killed in the war"
15246853	moment	time	88	5.24	semcor	time-period	word present in another sense	"an indefinitely short time; ""wait just a moment""; ""in a mo""; ""it only takes a minute""; ""in"
09178999	reason	motive	87	5.32	semcor	motivation	word present in another sense	"a rational motive for a belief or action; ""the reason that war was declared""; ""the grounds"
05817396	fact	cognition	85	5.41	semcor	cognition	word present in another sense	"a piece of information about circumstances that exist or events that have occurred; ""first"
04362025	surface	artifact	90	4.83	semcor	artifact	word present in another sense	the outer boundary of an artifact or a material layer constituting or resembling such a bo
08438533	forest	group	89	4.7	semcor	vegetation	word present in another sense	the trees and other plants in a large densely wooded area
04599396	work	artifact	76	5.96	semcor	product	word present in another sense	a product produced or accomplished through the effort or activity or agency of a person or
10317007	military_officer	person	86	4.81	semcor	skilled-worker		"any person in the armed services who holds a position of authority or command; ""an officer"
13384557	money	possession	77	5.64	semcor	standard	word present in another sense	"the most common medium of exchange; functions as legal tender; ""we tried to collect the mo"
08630039	region	location	80	5.0	semcor	place	word present in another sense	"the extended spatial location of something; ""the farming regions of France""; ""religions in"
15123115	day	time	70	5.95	semcor	time-period	word present in another sense	"some point or period in time; ""it should arrive any day now""; ""after that day she never tr"
08462320	data	group	76	5.34	semcor	collection	word present in another sense	"a collection of facts from which conclusions may be drawn; ""statistical data"""
13943968	thing	state	72	5.72	semcor	situation		"a special situation; ""this thing has got to end""; ""it is a remarkable thing"""
04981941	voice	attribute	78	5.07	semcor	attribute	word present in another sense	"the distinctive quality or pitch or condition of a person's speech; ""A shrill voice sounde"
13275847	cost	possession	75	5.24	semcor	outgo		the total spent for goods or services including money and time and labor
13963192	life	state	66	5.89	semcor	state	word present in another sense	"a characteristic state or mode of living; ""social life""; ""city life""; ""real life"""
15262921	today	time	69	5.55	semcor	nowadays		"the present time or age; ""the world of today""; ""today we have computers"""
08679972	direction	location	75	4.93	semcor	route	word present in another sense	"a line leading to a place or point; ""he looked the other direction""; ""didn't know the way "
04748836	difference	attribute	73	5.01	semcor	attribute		"the quality of being unlike or dissimilar; ""there are many differences between jazz and ro"
13954253	being	state	63	5.95	semcor	state		"the state or fact of existing; ""a point of view gradually coming into being""; ""laws in exi"
05560787	leg	body	75	4.66	semcor	limb	word present in another sense	a human limb; commonly used to refer to a whole limb but technically only the part of the 
05098942	size	attribute	70	5.13	semcor	magnitude		"the physical magnitude of something (how big it is); ""a wolf is about the size of a large "
05930736	form	cognition	68	5.31	semcor	cognition	word present in another sense	"a perceptual structure; ""the composition presents problems for students of musical form""; "
05810561	life	cognition	61	5.89	semcor	cognition	word present in another sense	"the experience of being alive; the course of human events and activities; ""he could no lon"
02991711	cell	artifact	71	4.87	semcor	compartment	word present in another sense	"any small compartment; ""the cells of a honeycomb"""
07110615	voice	communication	69	5.07	semcor	information	word present in another sense	the sound made by the vibration of vocal folds modified by the resonance of the vocal trac
15286249	rate	time	68	5.14	semcor	relation		"a magnitude or frequency relative to a time unit; ""they traveled at a rate of 55 miles per"
08559508	home	location	61	5.81	semcor	residence	word present in another sense	"where you live at a particular time; ""deliver the package to my home""; ""he doesn't have a "
05190804	power	attribute	63	5.52	semcor	attribute	word present in another sense	"possession of controlling influence; ""the deterrent power of nuclear weapons""; ""the power "
10624074	son	person	64	5.28	semcor	child		"a male human offspring; ""their son became a famous judge""; ""his boy is taller than he is"""
04679738	expression	attribute	70	4.55	semcor	appearance	word present in another sense	"the feelings expressed on a person's face; ""a sad expression""; ""a look of triumph""; ""an an"
13939892	degree	state	66	4.94	semcor	state	word present in another sense	"a specific identifiable position in a continuum or series or especially in a process; ""a r"
05682950	interest	cognition	63	5.17	semcor	condition	word present in another sense	"a sense of concern with and curiosity about someone or something; ""an interest in music"""
07085375	stress	communication	67	4.73	semcor	manner-of-speaking	word present in another sense	the relative prominence of a syllable or musical note (especially with regard to stress or
08082602	church	group	62	5.16	semcor	institution	word present in another sense	one of the groups of Christians who have their own beliefs and forms of worship
15157225	day	time	54	5.95	semcor	time-period	word present in another sense	"a day assigned to a particular purpose or observance; ""Mother's Day"""
05558717	back	body	53	6.04	semcor	body-part		"the posterior part of a human (or animal) body from the neck to the end of the spine; ""his"
08190482	enemy	group	66	4.7	semcor	military-unit	word present in another sense	"an opposing military force; ""the enemy attacked at dawn"""
05809878	world	cognition	52	5.89	semcor	cognition	word present in another sense	"all of your experiences that determine how things appear to you; ""his world was shattered"""
05064037	shape	attribute	63	4.72	semcor	attribute	word present in another sense	"any spatial attributes (especially as defined by outline); ""he could barely make out their"
00034479	thing	act	52	5.72	semcor	act		"an action; ""how could you do such a thing?"""
07970406	family	group	52	5.66	semcor	kin	word present in another sense	"primary social group; parents and children; ""he wanted to have a good job before starting "
08065234	industry	group	56	5.19	semcor	organization	word present in another sense	"the people or companies engaged in a particular kind of commercial enterprise; ""each indus"
00720565	function	act	60	4.78	semcor	duty	word present in another sense	"the actions and activities assigned to or required or expected of a person or group; ""the "
06722453	statement	communication	58	4.97	semcor	information	word present in another sense	a message that is stated or declared; a communication (oral or written) setting forth part
08061042	business	group	52	5.56	semcor	organization	word present in another sense	"a commercial or industrial enterprise and the people who constitute it; ""he bought his bro"
07109730	words	communication	55	5.25	semcor	information		"the words that are spoken; ""I listened to his words very closely"""
05702275	attention	cognition	56	5.11	semcor	cognition	word present in another sense	the process whereby a person concentrates on some features of the environment to the (rela
14006945	action	state	54	5.25	semcor	state	word present in another sense	"the state of being active; ""his sphere of activity""; ""he is out of action"""
05865998	point	cognition	51	5.54	semcor	concept	word present in another sense	"a geometric element that has position but no extension; ""a point is defined by its coordin"
05868954	component	cognition	63	4.32	semcor	concept	word present in another sense	"an abstract part of something; ""jealousy was a component of his character""; ""two constitue"
08430568	line	group	51	5.49	semcor	group	word present in another sense	"a formation of people or things one beside another; ""the line of soldiers advanced with th"
15245515	time	time	43	6.29	semcor	amount	word present in another sense	"a suitable moment; ""it is time to go"""
05916739	impression	cognition	62	4.35	semcor	idea	word present in another sense	"a vague idea in which some confidence is placed; ""his impression of her was favorable""; ""w"
00250259	development	act	52	5.31	semcor	act	word present in another sense	"act of improving by expanding or enlarging or refining; ""he congratulated them on their de"
08651247	site	location	52	5.22	semcor	geographical-area		"the piece of land on which something is located (or is to be located); ""a good site for th"
13464820	development	process	51	5.31	semcor	process	word present in another sense	a process in which something passes by degrees to a different stage (especially a more adv
05145118	monetary_value	attribute	63	4.06	semcor	worth	word present in another sense	the property of having material worth (often indicated by the amount of money something wo
06783768	question	communication	50	5.35	semcor	topic	word present in another sense	"the subject matter at issue; ""the question of disease merits serious discussion""; ""under t"
05138488	value	attribute	52	5.15	semcor	worth	word present in another sense	"the quality (positive or negative) that renders something desirable or valuable; ""the Shak"
00791078	test	act	51	5.19	semcor	attempt	word present in another sense	"the act of testing something; ""in the experimental trials the amount of carbon was measure"
05665146	technique	cognition	58	4.47	semcor	method		a practical method or art applied to some particular task
06743506	solution	communication	54	4.84	semcor	information	word present in another sense	"a statement that solves a problem or explains how to solve the problem; ""they were trying "
15164957	day	time	42	5.95	semcor	time-period	word present in another sense	"the time after sunrise and before sunset while it is light outside; ""the dawn turned night"
05816287	information	cognition	47	5.43	semcor	cognition	word present in another sense	knowledge acquired through study or experience or instruction
05984584	experience	cognition	48	5.27	semcor	cognition	word present in another sense	"the content of direct observation or participation in an event; ""he had a religious experi"
05174653	right	attribute	41	5.96	semcor	concept	word present in another sense	an abstract idea of that which is due to a person or governmental body by law or tradition
13859043	change	relation	45	5.54	semcor	relation	word present in another sense	a relational difference between states; especially between states before and after some ev
07543288	love	feeling	42	5.82	semcor	emotion	word present in another sense	"a strong positive emotion of regard and affection; ""his love for his work""; ""children need"
08513718	place	location	42	5.71	semcor	geographical-area	word present in another sense	"any area set aside for a particular purpose; ""who owns this place?""; ""the president was co"
07048000	song	communication	46	5.26	semcor	musical-composition		"a short musical composition with words; ""a successful musical must have at least three goo"
04191595	shelter	artifact	56	4.25	semcor	structure	word present in another sense	a structure that provides privacy and protection from danger
08355791	United_States_government	group	48	5.04	semcor	government		the executive and legislative and judicial branches of the federal government of the Unite
08278169	college	group	45	5.27	semcor	group	word present in another sense	the body of faculty and students of a college
13331198	sum	possession	54	4.34	semcor	possession	word present in another sense	"a quantity of money; ""he borrowed a large sum""; ""the amount he had in cash was insufficien"
04956594	color	attribute	48	4.91	semcor	attribute	word present in another sense	a visual attribute of things that results from the light they emit or transmit or reflect;
13285176	share	possession	45	5.2	semcor	possession	word present in another sense	"assets belonging to or due to or contributed by an individual person or group; ""he wanted "
13943400	event	state	45	5.18	semcor	condition	word present in another sense	"a special set of circumstances; ""in that event, the first possibility is excluded""; ""it ma"
08337324	agency	group	48	4.87	semcor	organization	word present in another sense	"an administrative unit of government; ""the Central Intelligence Agency""; ""the Census Burea"
07302836	fire	event	43	5.3	semcor	event	word present in another sense	"the event of something burning (often destructive); ""they lost everything in the fire"""
15239579	season	time	40	5.48	semcor	time-period	word present in another sense	"a period of the year marked by special events or activities in some field; ""he celebrated "
02714315	anode	artifact	66	2.86	semcor	device		a positively charged electrode by which electrons leave an electrical device
08208016	force	group	42	5.23	semcor	organization	word present in another sense	"group of people willing to obey orders; ""a public force is necessary to give security to t"
00634276	analysis	act	45	4.91	semcor	work		an investigation of the component parts of a whole and their relations in making up the wh
10375506	old_man	person	39	5.48	semcor	man		a man who is very old
09681351	Jew	person	55	3.87	semcor	person		a person belonging to the worldwide group claiming descent from Jacob (or converted to it)
09870926	boy	person	42	5.17	semcor	man		"a friendly informal reference to a grown man; ""he likes to play golf with the boys"""
07997703	class	group	40	5.36	semcor	collection	word present in another sense	"a collection of things sharing a common attribute; ""there are two classes of detergents"""
08457976	series	group	40	5.35	semcor	group	word present in another sense	"similar things placed in order or happening one after another; ""they were investigating a "
04424218	thing	artifact	36	5.72	semcor	artifact		"an artifact; ""how does this thing work?"""
05855004	thing	cognition	36	5.72	semcor	concept		"a special abstraction; ""a thing of the spirit""; ""things of the heart"""
04723816	quality	attribute	42	5.11	semcor	attribute	word present in another sense	"an essential and distinguishing attribute of something or someone; ""the quality of mercy i"
11444117	death	phenomenon	39	5.4	semcor	organic-phenomenon	word present in another sense	"the permanent end of all life functions in an organism or part of an organism; ""the animal"
06392001	section	communication	43	5.0	semcor	music	word present in another sense	"a self-contained part of a larger composition (written or musical); ""he always turns first"
10636598	spirit	person	45	4.79	semcor	agent	word present in another sense	the vital principle or animating force within living things
07965937	world	group	34	5.89	semcor	class		"people in general; especially a distinctive group of people with some shared interest; ""th"
08212347	work_force	group	41	5.16	semcor	organization		the force of workers available
05981230	aim	cognition	47	4.51	semcor	goal	word present in another sense	"the goal intended to be attained (and which is believed to be attainable); ""the sole objec"
08566028	end	location	35	5.68	semcor	place	word present in another sense	"either extremity of something that has length; ""the end of the pier""; ""she knotted the end"
05838176	decision	cognition	40	5.09	semcor	belief	word present in another sense	"a position or opinion or judgment reached after consideration; ""a decision unfavorable to "
08544813	country	location	36	5.48	semcor	district	word present in another sense	"the territory occupied by a nation; ""he returned to the land of his birth""; ""he visited se"
05870055	one	cognition	26	6.47	semcor	unit		"a single person or thing; ""he is the best one""; ""this is the one I ordered"""
09931640	coach	person	41	4.96	semcor	trainer	word present in another sense	(sports) someone in charge of training an athlete or a team
05107765	amount	attribute	39	5.13	semcor	magnitude	word present in another sense	"the relative magnitude of something with reference to a criterion; ""an adequate amount of "
05814291	topic	cognition	45	4.49	semcor	cognition	word present in another sense	"some situation or event that is thought about; ""he kept drifting off the topic""; ""he had b"
09367991	need	object	30	5.97	semcor	necessity	word present in another sense	"anything that is necessary but lacking; ""he had sufficient means to meet his simple needs"""
15206296	month	time	37	5.25	semcor	time-unit		"a time unit of approximately 30 days; ""he was given a month to pay the bill"""
05805475	understanding	cognition	41	4.82	semcor	cognition		"the cognitive condition of someone who understands; ""he has virtually no understanding of "
07289831	thing	event	32	5.72	semcor	event		"an event; ""a funny thing happened on the way to the..."""
08621598	position	location	37	5.21	semcor	place	word present in another sense	"the particular portion of space occupied by something; ""he put the lamp back in its place"""
08409617	senior_high_school	group	41	4.8	semcor	school		"a public secondary school usually including grades 9 through 12; ""he goes to the neighborh"
05677504	sense	cognition	37	5.19	semcor	cognition	word present in another sense	"a general conscious awareness; ""a sense of security""; ""a sense of happiness""; ""a sense of "
15211484	May	time	29	5.98	semcor	calendar-month		the month following April and preceding June
05899087	program	cognition	36	5.27	semcor	method	word present in another sense	"a system of projects or services intended to meet a public need; ""he proposed an elaborate"
13939604	way	state	28	6.01	semcor	condition	word present in another sense	"the condition of things generally; ""that's the way it is""; ""I felt the same way"""
06532095	act	communication	35	5.3	semcor	legal-document	word present in another sense	a legal document codifying the result of deliberations of a committee or society or legisl
09738708	American	person	33	5.49	semcor	inhabitant		a native or inhabitant of the United States
15266911	end	time	31	5.68	semcor	amount	word present in another sense	"the point in time at which something ends; ""the end of the year""; ""the ending of warranty "
04981139	sound	attribute	36	5.15	semcor	attribute	word present in another sense	"the particular auditory effect produced by a given cause; ""the sound of rain on the roof"";"
05079866	position	attribute	35	5.21	semcor	attribute	word present in another sense	"the arrangement of the body and its limbs; ""he assumed an attitude of surrender"""
10153414	guy	person	33	5.4	semcor	man	word present in another sense	"an informal term for a youth or man; ""a nice guy""; ""the guy's only doing it for some doll"""
05143077	sake	attribute	42	4.4	semcor	benefit	word present in another sense	"a reason for wanting something done; ""for your sake""; ""died for the sake of his country""; "
08059412	corporation	group	40	4.59	semcor	firm	word present in another sense	a business firm whose articles of incorporation have been approved in some state
08546183	county	location	34	5.19	semcor	place		(United Kingdom) a region created by territorial division for the purpose of local governm
05687338	trouble	cognition	38	4.79	semcor	cognition	word present in another sense	"a source of difficulty; ""one trouble after another delayed the job""; ""what's the problem?"""
03892891	part	artifact	28	5.78	semcor	physical-object	word present in another sense	"something less than the whole of a human artifact; ""the rear part of the house""; ""glue the"
05129201	length	attribute	38	4.77	semcor	spatial-extent		the linear extent in space from one end to the other; the longest dimension of something t
10259348	lieutenant	person	41	4.44	semcor	skilled-worker		a commissioned military officer
05901508	policy	cognition	33	5.17	semcor	plan	word present in another sense	"a plan of action adopted by an individual or social group; ""it was a policy of retribution"
07205104	no	communication	21	6.35	semcor	act		"a negative; ""his no was loud and clear"""
08214272	company	group	28	5.6	semcor	military-unit	word present in another sense	small military unit; usually two or three platoons
08240169	set	group	28	5.59	semcor	group	word present in another sense	"an unofficial association of people or groups; ""the smart set goes there""; ""they were an a"
06635509	material	communication	34	4.95	semcor	information	word present in another sense	information (data or ideas or observations) that can be used or reworked into a finished f
04298171	stairs	artifact	42	4.14	semcor	stairway		a flight of stairs or a flight of steps
11452218	energy	phenomenon	31	5.23	semcor	physical-phenomenon		(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do w
00456199	game	act	26	5.72	semcor	contest	word present in another sense	"a single play of a sport or other contest; ""the game lasted two hours"""
04424418	thing	artifact	26	5.72	semcor			"an entity that is not named specifically; ""I couldn't tell what the thing was"""
06723908	thing	communication	26	5.72	semcor	information		"a statement regarded as an object; ""to say the same thing in other terms""; ""how can you sa"
03224032	doorway	artifact	48	3.51	semcor	entrance	word present in another sense	the entrance (the space in a wall) through which you enter or leave a room or building; th
15140405	life	time	24	5.89	semcor	time-period	word present in another sense	"the period during which something is functional (as between birth and death); ""the battery"
08653314	air	location	29	5.37	semcor	place	word present in another sense	"the region above the ground; ""her hand stopped in mid air""; ""he threw the ball into the ai"
15246353	while	time	24	5.86	semcor	time-period	word present in another sense	"a period of indeterminate length (usually short) marked by some action or condition; ""he w"
05945642	opinion	cognition	33	4.94	semcor	belief	word present in another sense	"a personal belief or judgment that is not founded on proof or certainty; ""my opinion diffe"
00585174	services	act	29	5.31	semcor	occupation		"performance of duties or provision of space and equipment helpful to others; ""the mayor tr"
15213406	November	time	31	5.1	semcor	calendar-month		the month following October and preceding December
08178547	state	group	24	5.78	semcor	government	word present in another sense	"the group of people comprising the government of a sovereign state; ""the state has lowered"
05919866	meaning	cognition	33	4.87	semcor	idea	word present in another sense	"the idea that is intended; ""What is the meaning of this proverb?"""
05815517	area	cognition	27	5.46	semcor	cognition		"a subject of study; ""it was his area of specialization""; ""areas of interest include..."""
00584367	employment	act	36	4.56	semcor	occupation	word present in another sense	"the occupation for which you are paid; ""he is looking for employment""; ""a lot of people ar"
13981403	war	state	27	5.46	semcor	hostility	word present in another sense	a legal state created by a declaration of war and ended by official declaration during whi
05194578	force	attribute	29	5.23	semcor	influence	word present in another sense	"a powerful effect or influence; ""the force of his eloquence easily persuaded them"""
09428741	section	object	31	5.0	semcor	slice	word present in another sense	a very thin slice (of tissue or mineral or other substance) for examination under a micros
07168623	order	communication	26	5.49	semcor	bid	word present in another sense	(often plural) a command given by a superior (e.g., a military or law enforcement officer)
07285403	experience	event	28	5.27	semcor	event	word present in another sense	"an event as apprehended; ""a surprising experience""; ""that painful experience certainly got"
05755883	study	cognition	28	5.26	semcor	cognition	word present in another sense	"applying the mind to learning and understanding a subject (especially by reading); ""master"
08114861	department	group	28	5.23	semcor	administrative-division	word present in another sense	"a specialized division of a large organization; ""you'll find it in the hardware department"
11511523	discharge	phenomenon	41	3.93	semcor	physical-phenomenon		electrical conduction through a gas in an applied electric field
08408709	side	group	25	5.5	semcor	organization	word present in another sense	"one of two or more contesting groups; ""the Confederate side was prepared to attack"""
00308370	trip	act	31	4.9	semcor	journey		"a journey for some purpose (usually including the return); ""he took a trip to the shopping"
07291794	end	event	23	5.68	semcor	ending	word present in another sense	"the concluding parts of an event or occurrence; ""the end was exciting""; ""I had to miss the"
