# kind	offset	note — candidate synsets for the mathematics pack
topic	06000644	nouns WordNet tags with the topic mathematics (95)
topic	06018465	statistics (87)
topic	06004685	geometry (9)
topic	06012726	algebra
cone	13783581	mathematical relation (functions, equalities, ...)
cone	00869583	mathematical operation / process (arithmetic operations)
cone	06732169	mathematical statement (equations, formulas)
cone	07999699	set (mathematics) and its kinds
cone	13866144	polygon and its kinds
cone	06021499	statistic and its kinds
cone	05729036	statistical distribution
cone	05091770	probability (measure)
synset	13783581	mathematical relation
synset	00869583	mathematical operation
synset	06732169	mathematical statement
synset	07999699	set (mathematics)
synset	13866144	polygon
synset	06021499	statistic
synset	05729036	statistical distribution
synset	08267640	matrix (mathematics)
synset	06752293	theorem (proposition deducible from postulates)
synset	05847438	algorithm
synset	08005260	field (mathematics)
synset	05864577	vector (variable quantity)
synset	06031248	statistical correlation (hinge for the correlation kinds)
topic	06163751	nouns WordNet tags with the topic logic (25)
