# sub	sup	accept|reject	note      — Peter's decisions; outrank every witness.
# ===== Peter, 2026-09-02 — decision 2 (roots) accepted as drafted in overrides.tsv; decision 3 rulings:
# vehicles, tools and instruments under device (Cyc + SUMO) — accepted
aircraft	device	accept	coarse but true	02686568	03183080
boat	device	accept		02858304	03183080
ship	device	accept		04194289	03183080
spacecraft	device	accept		04264914	03183080
watercraft	device	accept		04530566	03183080
tool	device	accept		04451818	03183080
musical-instrument	device	accept		03800933	03183080
machine	device	accept		03699975	03183080
# vehicles as containers — rejected
car	container	reject	true of the cabin, false as filing	02958343	03094503
truck	container	reject	same	04490091	03094503
# documents as physical artifacts — rejected (CORE.md one-reading rule: a document is information)
article	artifact	reject	one-reading rule	06268096	00021939
book	artifact	reject	one-reading rule	06410904	00021939
letter	artifact	reject	one-reading rule	06624161	00021939
film	artifact	reject	one-reading rule	06613686	00021939
certificate	artifact	reject	one-reading rule	06471345	00021939
ticket	artifact	reject	one-reading rule	06518719	00021939
image	artifact	reject	one-reading rule	03931044	00021939
map	artifact	reject	one-reading rule	03720163	00021939
photograph	artifact	reject	one-reading rule	03925226	00021939
presentation	artifact	reject	one-reading rule	03210940	00021939
audio	physical-object	reject	one-reading rule	04262678	00002684
video	physical-object	reject	one-reading rule	04534127	00002684
# the philosophy question
organism	agent	reject	a plant is an organism and not an agent except in an exotic or botanical sense	00004475	00007347
person	organism	accept		00007846	00004475
# communication vs information
conversation	information	reject	a conversation is a kind of communication (it carries information, it is not information)	07133701	00033020
music	information	accept		07020895	00033020
music	event	reject	the art form is not an event; a performance is	07020895	00029378
# places
body-of-water	landform	reject	a sea is not a landform in English	09225146	
continent	landform	reject	schema.org's Landform is too broad	09254614	
village	city	reject	SUMO's City means settlement	08226699	08524735
village	community	accept		08226699	08223802
street	artifact	accept		04334599	00021939
# plainly right
business	organization	accept			08008335
team	organization	accept		08208560	08008335
organization	group	accept		08008335	00031264
manual	book	accept		06421685	06410904
drink	food	accept		07881800	00021265
water	material	accept		14845743	14580897
computer	machine	accept		03082979	03699975
flight	journey	accept		00301192	00306426
fruit	natural-object	accept		07705931	00019128
linguistics	science	accept		06172789	05999797
logic	philosophy	accept		06163751	06158346
report	article	reject	left out	07218470	06268096
# ===== Peter, 2026-09-02 — decision 5 (disputes), first rulings:
aim	goal	reject	synonyms — neither direction; one name should go (decision 6)	05981230	05980875
goal	aim	reject	synonyms	05980875	05981230
emotion	emotional-state	reject	synonyms	07480068	13985818
emotional-state	emotion	reject	synonyms	13985818	07480068
boat	watercraft	accept	a boat is a watercraft	02858304	04530566
ship	watercraft	accept	follows the boat ruling (SUMO's mapping had the direction inverted)	04194289	04530566
watercraft	boat	reject	inverted	04530566	02858304
watercraft	ship	reject	inverted	04530566	04194289
human	person	accept	a human is a person	02472293	00007846
person	human	reject	inverted	00007846	02472293
# ===== Peter, 2026-09-02 — decision 5, the remaining disputes
apartment	suite	reject	synonyms — neither direction; merge names (decision 6)	02726305	04351550
assembly	meeting.act	reject	synonyms — neither direction; merge names (decision 6)	01229938	01230965
battle	military-action	accept	the source that reversed it had the direction inverted	00953559	00952963
cheek	feature	reject	feature is too general a word for this	05602835	05601758
city	settlement	accept	the source that reversed it had the direction inverted	08524735	08672562
cognition	property	reject	not related	00023271	05849040
collection	group	accept	the source that reversed it had the direction inverted	07951464	00031264
competition	contest.act	reject	synonyms — neither direction; merge names (decision 6)	01168569	01168961
conference	convention	reject	synonyms — neither direction; merge names (decision 6)	08308497	08309086
contest.act	competition	reject	synonyms — neither direction; merge names (decision 6)	01168961	01168569
convention	conference	reject	synonyms — neither direction; merge names (decision 6)	08309086	08308497
departure	farewell	reject	synonyms — neither direction; merge names (decision 6)	00042757	00053097
district	state	reject	a state is usually larger than a district	08552138	08654360
document	note	reject	inverted	06470073	06504462
embarrassment	shame	reject	synonyms — neither direction; merge names (decision 6)	07507098	07506569
