name	issue	ids
art	core name has no WordNet noun sense	
business-studies	core name has no WordNet noun sense	
chat-message	core name has no WordNet noun sense	
dataset	core name has no WordNet noun sense	
event-ticket	core name has no WordNet noun sense	
financial-document	core name has no WordNet noun sense	
formal-science	core name has no WordNet noun sense	
land-vehicle	core name has no WordNet noun sense	
landform	core name has no WordNet noun sense	
music-recording	core name has no WordNet noun sense	
nonprofit	core name has no WordNet noun sense	
podcast	core name has no WordNet noun sense	
software-agent	core name has no WordNet noun sense	
text-message	core name has no WordNet noun sense	
transport-ticket	core name has no WordNet noun sense	
voice-message	core name has no WordNet noun sense	
acquaintanceship	name collision with 'acquaintance' — a relationship less intimate than friendship	13930245
affinity.relation	name collision with 'affinity' — a close connection marked by community of interests or simil	13811410
agent.person	name collision with 'agent' — a representative who acts on behalf of other persons or orga	09777353
federal-agent	name collision with 'agent' — any agent or representative of a federal agency or bureau	10373801
dismay	name collision with 'alarm' — fear resulting from the awareness of danger	07519773
record-album	name collision with 'album' — one or more recordings issued together; originally released 	06591815
friend	"name collision with 'ally' — an associate who provides cooperation or assistance; ""he's a"	09785042
practical-application	name collision with 'application' — the act of bringing something to bear; using it for a partic	00949134
pointer	name collision with 'arrow' — a mark to indicate a direction or relation	06818121
artistic-creation	"name collision with 'art' — the creation of beautiful or significant things; ""art does n"	00933420
ambiance	"name collision with 'atmosphere' — a particular environment or surrounding influence; ""there wa"	14524849
fond-regard	name collision with 'attachment' — a feeling of affection for a person or an institution	07545161
attractive-force	name collision with 'attraction' — the force by which one object attracts another	11426530
authority.person	name collision with 'authority' — (usually plural) persons who exercise (administrative) contr	09824609
ground	name collision with 'background' — the part of a scene (or picture) that lies behind objects in	05933834
handbag	name collision with 'bag' — a container used for carrying money and small personal items	02774152
balance.state	name collision with 'balance' — a state of equilibrium	14002279
globe	"name collision with 'ball' — an object with a spherical shape; ""a ball of fire"""	13899404
gun-barrel	name collision with 'barrel' — a tube through which a bullet travels when a gun is fired	02795528
base.artifact	"name collision with 'base' — a flat bottom on which something is intended to sit; ""a tub "	02798574
base.shape	name collision with 'base' — the bottom side of a geometric figure from which the altitud	13897837
electric-battery	name collision with 'battery' — a device that produces electricity; may have several primary	02810471
beam-of-light	name collision with 'beam' — a column of light (as from a beacon)	11428023
leaf-blade	name collision with 'blade' — especially a leaf of grass or the broad portion of a leaf as	13131883
cube	name collision with 'block' — a three-dimensional shape with six square or rectangular sid	13914608
plank	name collision with 'board' — a stout length of sawn timber; made in a wide variety of siz	15101854
dead-body	"name collision with 'body' — a natural object consisting of a dead animal or person; ""the"	05217859
bail-bond	name collision with 'bail' — (criminal law) money that must be forfeited by the bondsman 	13350976
underside	name collision with 'bottom' — the lower side of anything	08511241
bow.artifact	name collision with 'bow' — a decorative interlacing of ribbons	02880308
bracket.group	name collision with 'bracket' — a category falling within certain defined limits	08006094
crack-up	name collision with 'breakdown' — a mental or physical breakdown	14066492
brother.person	name collision with 'brother' — (Roman Catholic Church) a title given to a monk and used as 	09876701
comrade	name collision with 'brother' — used as a term of address for those male persons engaged in 	09877124
cabinet.group	name collision with 'cabinet' — persons appointed by a head of state to head executive depar	08381820
deliberation	"name collision with 'calculation' — planning something carefully and intentionally; ""it was the "	05796423
summer-camp	name collision with 'camp' — a site where care and activities are provided for children d	02945594
refugee-camp	name collision with 'camp' — shelter for persons displaced by war or political oppression	02945813
hunting-expedition	name collision with 'campaign' — an overland journey by hunters (especially in Africa)	00309906
capital.possession	name collision with 'capital' — wealth in the form of money or property owned by a person or	13353607
card.communication	name collision with 'card' — a rectangular piece of stiff paper used to send messages (ma	06627006
identity-card	"name collision with 'card' — a card certifying the identity of the bearer; ""he had to sho"	06477371
tending	name collision with 'care' — the work of providing treatment for or attending to someone 	00654885
instance	"name collision with 'case' — an occurrence of something; ""it was a case of bad judgment"";"	07308889
cast-of-characters	name collision with 'cast' — the actors in a play	08237863
ceiling.communication	"name collision with 'ceiling' — an upper limit on what is allowed; ""he put a ceiling on the "	06657646
jail-cell	name collision with 'cell' — a room where a prisoner is kept	02991302
cubicle	name collision with 'cell' — small room in which a monk or nun lives	02991555
centre	name collision with 'center' — a point equidistant from the ends of a line or the extremiti	08521816
strand	"name collision with 'chain' — a necklace made by a stringing objects together; ""a string o"	02999757
