name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
abbey	02667379	Abbey	=		Abbey	Q160742	Mx4rGphw-inAQdiM5KzBxwwzkw				a monastery ruled by an abbot	base
abdomen	05556943	Abdomen	=			Q1029907	Mx4rvVjgyZwpEbGdrcN5Y29ycA				the region of the body of a vertebrate between the thorax and the pelvis	base
aberration	11420139	RadiatingLight	+			Q186634					an optical phenomenon resulting from the failure of a lens or mirror to produce a good ima	base
ability	05200169	Attribute	+				Mx4rvh57iJwpEbGdrcN5Y29ycA				the quality of being able to perform; a quality that permits or facilitates achievement or	base
abortion	00230324	Destruction	+								termination of pregnancy	base
absence	01234345	Process	+								failure to be present	base
absolute-magnitude	05090979	Attribute	+			Q159653					(astronomy) the magnitude that a star would have if it were viewed from a distance of 10 p	physics
absorber	14598079	SelfConnectedObject	+								(physics) material in a nuclear reactor that absorbs radiation	physics
absorption	13423922	Wetting	+			Q332828					(chemistry) a process in which one substance permeates another; a fluid permeates or is di	base
absorptivity	05010062	BiologicalAttribute	+								(physics) the property of a body that determines the fraction of the incident radiation or	physics
abundance	13820239	RationalNumber	+			Q4670625	Mx4ryRDI6C_yQdieKqrX9MLtpw				(physics) the ratio of the number of atoms of a specific isotope of an element to the tota	physics
abuse	06715223	Expressing	+								"a rude expression intended to offend or hurt; ""when a student made a stupid mistake he spa"	base
academic-degree	06697331	AcademicDegree	=		Academic_degree						an award conferred by a college or university signifying that the recipient has satisfacto	base
academy	02669885	EducationalOrganization	+		Academy	Q162633	Mx4rpo0ncHqGQdeOwLvZU0r7Hw				a learned establishment for the advancement of knowledge	base
accelerator	02670683	GasPedal	=			Q961356					"a pedal that controls the throttle valve; ""he stepped on the gas"""	base
access	05175467	NormativeAttribute	+			Q494852					the right to obtain or make use of or take advantage of something (as services or membersh	base
accident	07301336	Process	+		Accident	Q171558	Mx4rvViib5wpEbGdrcN5Y29ycA				an unfortunate mishap; especially one causing damage or injury	base
accomplishment	00035189	IntentionalProcess	=						accomplishment		the action of accomplishing something	base
account	13354985	FinancialText	+				Mx4rTXWNgDjCEd2AAADggVbxzQ				"a statement of recent transactions and the resulting balance; ""they send me an accounting "	base
accountant	09761403	Accountant	+			Q471066					someone who maintains and audits business accounts	base
accretion	13424865	Increasing	+								an increase by natural growth or addition	base
accusation	06730780	Stating	+								"an assertion that someone is guilty of a fault or offence; ""the newspaper published charge"	base
ace	09762509	Human	+			Q378907					someone who is dazzlingly skilled in any field	base
acid	14607521	ChemicalAcid	=		Acid	Q11158					any of various water-soluble compounds having a sour taste and capable of turning litmus r	base
acknowledgment	14411981	SubjectiveAssessmentAttribute	+				Mx4rvVkMQZwpEbGdrcN5Y29ycA				"the state or quality of being recognized or acknowledged; ""the partners were delighted wit"	base
acquaintance	09763784	SocialRole	+			Q28008277					"a person with whom you are acquainted; ""I have trouble remembering the names of all my acq"	base
acquired-knowledge	05984287	EducationalProcess	=								"knowledge acquired by learning and instruction; ""it was clear that he had a very broad edu"	base
acquisition	13253255	Getting	+				Mx4rg_O_VFaUQdiKWM5U7IxE6A				"something acquired; ""a recent acquisition by the museum"""	base
act	00030358	IntentionalProcess	=			Q421744					something that people do or cause to happen	base
act-of-play	07009640	PerformanceAct	=								a subdivision of a play or opera or ballet	base
action	06373513	Proposition	+	schema:Action		Q3678445	Mx4rvVioQZwpEbGdrcN5Y29ycA			Action	"the series of events that form a plot; ""his novels always have a lot of action"""	base
activeness	04635104	BiologicalAttribute	+								"the trait of being active; moving or acting rapidly and energetically; ""the level of activ"	base
activity	00407535	IntentionalProcess	=				Mx4rlgRwgoDjQ2Wo8XdS2_fXuw				"any specific behavior; ""they avoided all recreational activity"""	base
actor	09765278	Actor	=			Q33999	Mx4rvVjaHZwpEbGdrcN5Y29ycA				a theatrical performer	base
ad	07248801	Advertising	=			Q37038					a public promotion of some product or service	base
adaptation	06408779	Text	+			Q483921	Mx4rz8Y1HDAEQdieyelU0gk2PQ				"a written work (as a novel) that has been recast in a new form; ""the play is an adaptation"	base
addiction	14062725	DiseaseOrSyndrome	+			Q12029					being abnormally tolerant to and dependent on something that is psychologically or physica	base
addition	02679415	Putting	+			Q32043					"a component that is added to something to improve it; ""the addition of a bathroom was a ma"	base
address	08491027	PostalPlace	=				Mx4rkGMnxHtwEd2AAABQjYGu0g				the place where a person or organization can be found or communicated with	base
adeptness	05642175	PsychologicalAttribute	+								"skillful performance or ability without difficulty; ""his quick adeptness was a product of "	base
administrative-division	08220714	Organization	+								an administrative unit in government or business	base
administrator	09770949	Position	+								someone who administers a business	base
admiration	07500741	EmotionalState	+				Mx4rvViyC5wpEbGdrcN5Y29ycA				a feeling of delighted approval and liking	base
admission	07215948	Stating	+			Q904175	Mx4rvcBbxpwpEbGdrcN5Y29ycA				an acknowledgment of the truth of something	base
admonition	06672297	NormativeAttribute	+			Q4683829					cautionary advice about something imminent (especially imminent danger or other unpleasant	base
adolescent	09772029	Teenager	=			Q1492760					a juvenile between the onset of puberty and maturity	base
adoption	00180413	Getting	+			Q180472					"the act of accepting with approval; favorable reception; ""its adoption by society""; ""the p"	base
adult	09605289	HumanAdult	=			Q9584157	Mx4rwQBnMZwpEbGdrcN5Y29ycA				a fully developed person from maturity onward	base
