# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- chemistry batch 1: wordnet  ---
24-karat-gold	gold	accept		14639467	14638799
abundance	ratio	accept		13820000	13819207
actinide-series	group	reject	WordNet's `group` of elements is not our group of people	14625110	00031264
activated-carbon	carbon	accept		14796359	14633206
activity.state	condition	accept		14531203	13920835
adamant	carbon	accept		14834563	14633206
alkali-metal	metal	accept		14712224	14625458
alkaline-earth	metal	accept		14712489	14625458
allomerism	variation	accept		07337935	07337390
alloy-iron	cast-iron	accept		14715786	14801921
alpha-iron	iron	accept		14720692	14642417
alum	aluminum	reject	a compound is not the element	14628119	14627820
alum	chemical-solution	reject	a crystalline compound is not a solution	14628119	14589223
alum	compound	accept		14628119	14818238
ammonia-alum	aluminum	reject	same	14628307	14627820
ammonia-alum	chemical-solution	reject	same	14628307	14589223
ammonia-alum	compound	accept		14628307	14818238
antimonial-lead	pb	accept		14905197	14643467
antimony	metal	accept		14628668	14625458
argon	noble-gas	accept		14628920	14624369
astatine	group	reject	same	14629561	00031264
atomic-mass	attribute	accept		05025935	00024264
atomism	thinking	reject	a theory, not the process of thinking	06102476	05770926
azote	nitrogen	accept		14647623	14647235
barium-dioxide	baryta	accept		14630630	14630204
barium-hydroxide	baryta	accept		14630363	14630204
barium-monoxide	baryta	accept		14630492	14630204
baryta	barium	reject	compounds of barium are not barium	14630204	14629998
basic-iron	pig-iron	accept		14773447	14983491
beta-iron	iron	accept		14722056	14642417
blister-copper	copper	accept		14781513	14635722
bone-black	char	accept		14668895	14685172
brimstone	sulfur	accept		14785325	14656219
bromine	group	reject	same	14632129	00031264
calcium-ion	calcium	accept		15071229	14632648
calcium-ion	protein	reject	a WordNet oddity	15071229	14728724
carbon-black	carbon	accept		14793533	14633206
carbon-nanotube	fullerene	accept		14622491	14622141
cast-iron	iron	accept		14801921	14642417
cesium-137	cesium	accept		14634477	14634232
charcoal	carbon	accept		14685296	14633206
charcoal	fuel	accept		14685296	14875077
chemical-phenomenon	natural-event	accept		11409059	11408559
chemical-process	process	accept		13446390	00029677
chlorine	fluid	accept		14634591	14939445
chlorine	group	reject	same	14634591	00031264
cinder-pig	pig-iron	accept		14812763	14983491
coin-silver	silver	accept		14816613	14654954
columbium	niobium	accept		14647154	14646942
dalton's-law	concept	accept		05876469	05835747
decomposition	chemical-reaction	accept		13458268	13447361
delta-iron	iron	accept		14722426	14642417
displacement	chemical-reaction	accept		13467224	13447361
distribution-law	concept	accept		05876912	05835747
electrolysis	decomposition	accept		13472125	13458268
equilibrium-law	concept	accept		05877412	05835747
fluorine	fluid	accept		14637507	14939445
fluorine	group	reject	same	14637507	00031264
galvanized-iron	iron	accept		14877100	14642417
gamma-iron	iron	accept		14722240	14642417
germanium	electrical-conductor	reject	a semiconductor	14638517	14821043
gold	noble-metal	accept		14638799	14627081
gold-dust	gold	accept		14719025	14638799
green-gold	gold	accept		14891425	14638799
grid-metal	antimonial-lead	accept		14891868	14905197
guinea-gold	gold	accept		14892405	14638799
hard-lead	pb	accept		14905076	14643467
heavy-metal	alloy	reject	a heavy metal need not be an alloy	14612077	14586769
heavy-metal	metal	accept		14612077	14625458
helium	noble-gas	accept		14639921	14624369
henry's-law	concept	accept		05878771	05835747
hydrogen	fluid	accept		14640434	14939445
imbibition	absorption	accept		13496017	13423922
ingot-iron	iron	accept		14801845	14642417
iodine	group	reject	same	14641397	00031264
iodine-125	atom	reject	an isotope is a kind of the element, not of atom in general	14642005	14619225
iodine-131	atom	reject	same	14641797	14619225
ion	particle	accept		09315159	09386422
krypton	noble-gas	accept		14642916	14624369
law-of-constant-proportion	concept	accept		05880854	05835747
law-of-equivalent-proportions	concept	accept		05881578	05835747
law-of-mass-action	concept	accept		05882537	05835747
law-of-multiple-proportions	concept	accept		05882226	05835747
liquid-nitrogen	nitrogen	accept		14940750	14647235
liquid-oxygen	oxygen	accept		14648526	14648100
mercury	metal	accept		14645346	14625458
mine-pig	pig-iron	accept		14953005	14983491
molecular-weight	attribute	accept		05026312	00024264
neon	noble-gas	accept		14646152	14624369
nitrogen	fluid	accept		14647235	14939445
noble-gas	fluid	accept		14624369	14939445
noble-metal	metal	accept		14627081	14625458
osmosis	process	accept		13528100	00029677
p-h	concentration	accept		05039106	05038593
pencil.substance	graphite	accept		14796748	14796575
periodic-law	concept	accept		05887156	05835747
pig-iron	iron	accept		14983491	14642417
pig-lead	pb	accept		14983694	14643467
platinum	noble-metal	accept		14649543	14627081
polyvalence	state	accept		14570330	00024720
pot-metal	cast-iron	accept		14802167	14801921
radon	noble-gas	accept		14652104	14624369
rectification	process	accept		13547199	00029677
reverse-osmosis	osmosis	accept		13528441	13528100
saturation-point	condition	accept		13925340	13920835
scrap-iron	iron	accept		15020974	14642417
scrap-iron	rubbish	reject	scrap is stock, not refuse	15020974	14857497
silicon	electrical-conductor	reject	a semiconductor	14654541	14821043
silver	noble-metal	accept		14654954	14627081
snuff	char	accept		15044016	14685172
spelter	zinc	accept		15049745	14661977
spiegeleisen	pig-iron	accept		15049401	14983491
spray	mixture	reject	drops of water are not a chemical mixture	15056541	14586258
steam	mixture	reject	water vapour is one substance	15055181	14586258
steel	alloy	accept		14802450	14586769
stoichiometry	ratio	accept		13825840	13819207
structural-iron	iron	accept		15063108	14642417
sublimation	change	accept		07360293	07296428
swedish-iron	wrought-iron	accept		15065483	14802262
theory-of-dissociation	thinking	reject	a theory	06108850	05770926
theory-of-indicators	thinking	reject	a theory	06109487	05770926
thorium-228	thorium	accept		14658422	14658109
weapons-plutonium	plutonium-239	accept		14650366	14650137
wrought-iron	iron	accept		14802262	14642417
xenon	noble-gas	accept		14661274	14624369
# --- chemistry batch 2: wordnet  ---
carbonado	carbon	accept		14793393	14633206
ni-hard	alloy-iron	accept		14963051	14715786
