# label	GPT path — kinds WordNet has no noun for
3d glasses	electronics > video > video accessories > 3d glasses
3d glasses	electronics > video > video accessories > 3d glasses
3d glasses	electronics > video > video accessories > 3d glasses
3d modeling software	software > computer software > multimedia & design software > 3d modeling software
3d printer	electronics > print, copy, scan & fax > 3d printer
3d printer accessories	electronics > print, copy, scan & fax > 3d printer accessories
ab wheel	sporting goods > exercise & fitness > ab wheel
abrasive blaster	hardware > hardware accessories > tool storage & organization > tool > abrasive blaster
abrasive blaster	hardware > hardware accessories > tool storage & organization > tool > abrasive blaster
abrasive blaster	hardware > hardware accessories > tool storage & organization > tool > abrasive blaster
abrasive blaster	hardware > hardware accessories > tool storage & organization > tool > abrasive blaster
abrasive blaster accessories	hardware > tool accessories > abrasive blaster accessories
absinthe fountain	home & garden > kitchen & dining > barware > absinthe fountain
accent table	furniture > table > accent table
accent table	furniture > table > accent table
accent table	furniture > table > accent table
accent table	furniture > table > accent table
accent table	furniture > table > accent table
accent table	furniture > table > accent table
accessibility	health & beauty > health care > accessibility   [WordNet has only non-goods senses]
accessibility equipment	health & beauty > health care > mobility & accessibility > accessibility equipment
accessibility equipment accessories	health & beauty > health care > mobility & accessibility > accessibility equipment accessories
accessibility furniture	health & beauty > health care > mobility & accessibility > accessibility furniture
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accessories	sporting goods > outdoor recreation > cycling > accessories
accounting software	software > computer software > accounting software
acid neutralizer	home & garden > pool & spa > pool & spa accessories > chemical > acid neutralizer
acid neutralizer	home & garden > pool & spa > pool & spa accessories > chemical > acid neutralizer
acne treatment	health & beauty > personal care > cosmetics > skin care > acne treatment
acoustic guitar pickup	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > string instrument accessories > guitar accessories > acoustic guitar pickup
activity	sporting goods > outdoor recreation > activity   [WordNet has only non-goods senses]
activity equipment	toddler > activity equipment
activity monitor	health & beauty > health care > biometric monitor > activity monitor
activity monitor accessories	health & beauty > health care > biometric monitor accessories > activity monitor accessories
activity table	furniture > table > activity table
activity table	furniture > table > activity table
activity table	furniture > table > activity table
activity table	furniture > table > activity table
activity table	furniture > table > activity table
activity table	furniture > table > activity table
activity toy	toys & games > toy > activity toy
activity toy	toys & games > toy > activity toy
activity toy	toys & games > toy > activity toy
acupuncture	health & beauty > health care > acupuncture   [WordNet has only non-goods senses]
acupuncture model	health & beauty > health care > acupuncture > acupuncture model
acupuncture needle	health & beauty > health care > acupuncture > acupuncture needle
address book	hardware > hardware accessories > organization > address book
address book	hardware > hardware accessories > organization > address book
address book	hardware > hardware accessories > organization > address book
address label	office supplies > general office supplies > labels & tags > address label
address sign	home & garden > decor > address sign
adult hygienic wipe	health & beauty > personal care > cosmetics > bath & body > adult hygienic wipe
advent calendar	home & garden > decor > seasonal & holiday decorations > advent calendar
advice card	arts & entertainment > party & celebration > party supplies > advice card
aerobic step	sporting goods > exercise & fitness > aerobic step
aftershave	health & beauty > personal care > grooming > aftershave
agility cone	sporting goods > athletics > general purpose athletic equipment > agility cone
